暦, こよみ, 历书、日历
ありがたい, , 值得感谢的、值得庆幸的
稼ぐ, かせぐ, 赚钱
あきれる, , 吃惊、愣住
素人, しろうと, 外行
相当[な], そうとう[な], 相当[的]
独学[する], どくがく[する], 自学
基準, きじゅん, 基准
照らす, てらす, 按照
新入社員, しんにゅうしゃいん, 新职员
応対[する], おうたい[する], 应对
学位, がくい, 学位
負けず嫌い, まけずぎらい, 好强、好胜
しっかり, , 踏实地、好好地
バイオリン, , 小提琴
着替える, きがえる, 换装、换衣服
しゃくりあげる, , 抽抽啼啼地哭
甘えん坊, あまえんぼう, 爱撒娇的孩子
鉦, かね, (吊)钟
ルーツ, , 起源
古代, こだい, 古代
王国, おうこく, 王国
天文, てんもん, 天文
学者, がくしゃ, 学者
観測[する], かんそく[する], 观测
金星, きんせい, 金星
火星, かせい, 火星
木星, もくせい, 木星
水星, すいせい, 水星
支配[する], しはい[する], 统治、控制、管理
とくてい[する], , 特定
特定[する], , 特定
割り振る, わりふる, 分摊、分配
並び順, ならびじゅん, 排列顺序
端午の節句, たんごのせっく, 端午节
節句, せっく, 节日
武者人形, むしゃにんぎょう, 武士偶人
鯉のぼり, こいのぼり, 鲤鱼旗
こい, , 鲤鱼
伝説, でんせつ, 传说
流れ[川の~], ながれ[かわの~], 水流[川の~/河流]
滝, たき, 瀑布
逆らう, さからう, 逆流而上
光り輝く, ひかりかがやく, 光芒四射
竜, りゅう, 龙
変身[する], へんしん[する], 摇身一变
昇る[天に~], のぼる[てんに~], 升起[天に~/升向天空]
困難, こんなん, 困难
立ち向かう, たちむかう, 面对
生まれる[鯉のぼりが~], うまれる[こいのぼりが~], 诞生、产生[鯉のぼりが~/有(了)鲤鱼旗]
