説明文, せつめいぶん, 说明文
交代[する], こうたい[する], 替换、轮流
ピアニスト, , 钢琴家
楽器, がっき, 乐器
一家[音楽~], いっか[おんがく~], …… 世家[音楽~/音乐世家]
秘密, ひみつ, 秘密
帰国生徒, きこくせいと, 回国的学生
器用[な], きよう[な], 灵巧[的]、精巧[的]
かく[汗を~], [あせを~], 流[汗を~/流汗]
注文[する], ちゅうもん[する], 点(菜、饮料)
マナー, , 礼貌、社会公共道德
国民栄誉賞, こくみんえいよしょう, 国民荣誉奖
栄誉, えいよ, 荣誉
信頼[する], しんらい[する], 信赖、信任
思い浮かべる, おもいうかべる, 浮现在脑海里
中年, ちゅうねん, 中年
提供[する], ていきょう[する], 提供
展開[する], てんかい[する], 展开
走り回る, はしりまわる, 到处跑
こうして, , 就这样
あっという間, あっというま, 瞬间、眨眼功夫
支社, ししゃ, 分社、分公司
しみじみ, , 深深地、痛切地
でかい, , 大的
つながり[人と人との~], [ひととひととの~], 联系[人と人との~/人与人之间的联系]
金儲け, かねもうけ, 赚钱
緊急, きんきゅう, 紧急
共生[する], きょうせい[する], 共生存
耳にする, みみにする, 传到耳朵里、(无意中)听到
ともに, , 一同
利益, りえき, 利润
分かち合う, わかちあう, 相互分享、共同分担
ヤドカリ, , 寄居蟹
イソギンチャク, , 海葵、刺水母
用語, ようご, 用语
社会科学, しゃかいかがく, 社会科学
分野, ぶんや, 领域
込める[意味を~], こめる[いみを~], 包括在内[意味を~/包含 …… 之意]
乗り越える, のりこえる, 克服
怠け者, なまけもの, 懒汉
真面目[な], まじめ[な], 认真[的]、踏实[的]
ナマケモノ, , (动物名)树懒
ぶら下がる, ぶらさがる, 悬挂、吊
移動[する], いどう[する], 移动
エネルギー, , 能源
ちょうど, , 正好、正巧
賢い, かしこい, 聪明
~ さん の 右 に 出 る 人 は い な い。, , 没谁能超过 …… ~。
そんな大したものじゃありません。, , 没那么厉害吧。被表扬后,表示谦虚时用
いえ、それほどでも。, , 呀,哪里哪里,并不是那么 …… 的。被表扬后,表示谦虚时用
ただ、自分で言うのもなんですが、 , , 但是,不瞒你说 …… 讲迷自己感到有些自豪的事情时的开场白
お言葉に甘えて、 , , 那就听您的吧。表示接受他人的好意
